1;5
2;5
3;5
4;5
5;7
6;7
7;13
8;20
9;28
10;28
11;38
12;49
13;97
14;108
15;145
16;196
17;196
18;196
19;306
20;306
21;470
22;470
23;491
24;539
25;608
26;702
27;798
28;906
29;1065
30;1161
31;1267
32;1406
33;1485
34;1579
35;1780
36;2054
37;2223
38;2473
39;2709
40;2776
41;2852
42;2979
43;3105
44;3233
45;3439
46;3621
47;3792
48;3977
49;4149
50;4356
51;4561
52;4881
53;5142
54;5379
55;5597
56;5949
57;6211
58;6507
59;7006
60;7285
61;7668
62;7973
63;8613
64;8959
65;9456
66;10051
67;10495
68;11063
69;11613
70;12272
71;12930
72;13610
73;14216
74;14939
75;15574
76;16295
77;16935
78;17687
79;18330
80;19131
81;20177
82;21175
83;21981
84;23003
85;24104
86;25366
87;26688
88;28236
89;29383
90;30493
91;31833
92;33354
93;35120
94;36635
95;38027
96;39236
97;40719
98;42078
99;43682
100;45212
101;46858
102;48746
103;50939
104;53063
105;54931
106;57046
107;60217
108;63276
109;65633
110;68652
111;71183
112;73572
113;77113
114;80599
115;84442
116;88591
117;91769
118;95043
119;97846
120;102009
121;106110
122;109505
123;113389
124;117110
125;120281
126;124494
127;128638
128;133973
129;140776
130;145362
131;150445
132;154277
133;159898
134;165169
135;173206
136;182140
137;190700
138;197278
139;204005
140;211038
141;218428
142;226373
143;233541
144;240795
145;248976
146;257101
147;267385
148;276055
149;286020
150;295508
151;306181
152;317651
153;327850
154;334979
155;345714
156;357710
157;367196
158;376870
159;387481
160;397623
161;410453
162;422519
163;433805
164;445111
165;456689
166;468332
167;476660
168;489122
169;502178
170;513719
171;522138
172;533103
173;541147
174;551696
175;562128
176;572270
177;582022
178;590520
179;599914
180;607938
181;615168
182;624069
183;633339
184;641574
185;650062
186;658456
187;666521
188;671848
189;679513
190;686851
191;694664
192;702088
193;708964
194;716319
195;721892
196;728590
197;736377
198;743945
